Project Name,Github Link,Line of Code,TC,WMC,NOC,MHF,AHF,MIF,AIF,LCOM,COF,COB,POF,DIT
Banking System,https://github.com/meyashtiwari/Banking-System,522,2,12.0,0,0.6666666666666666,0.25,1.0,1.0,1.0,522.0,1.0,0.041666666666666664,1
Bug Tracking Application,https://github.com/vijaythapa333/BugTrackingApplication,6797,36,5.111111111111111,13,0.8315217391304348,0.985981308411215,1.0,1.0,1.1111111111111112,210.384126984127,1.1111111111111112,0.005434782608695652,1
Barcode Reader Library,https://github.com/barnhill/barcodelib,6276,46,2.9130434782608696,34,0.5447761194029851,0.944954128440367,1.0,1.0,2.652173913043478,369.8898550724638,2.652173913043478,0.007462686567164179,2
Huffman Encoding,https://github.com/arslanbilal/Huffman-Code-CSharp,366,4,2.0,35,0,0,1.0,0,52.25,6374.5,52.25,0.125,3
Ebay Oauth Authentication,https://github.com/eBay/ebay-oauth-csharp-client,1401,18,3.111111111111111,36,0.30357142857142855,0.15384615384615385,1.0,1.0,17.444444444444443,1437.6274509803923,17.444444444444443,0.017857142857142856,3
Task Management System,https://github.com/khaledkucse/TaskManagementSystem,7096,44,3.7954545454545454,49,0.6646706586826348,1.0,1.0,1.0,10.522727272727273,1736.494714587738,10.522727272727273,0.005988023952095809,1
Dental Clinic Management System,https://github.com/ddevilred1/,2727,43,1.255813953488372,77,0,0.7083333333333334,1.0,1.0,15.232558139534884,989.0282392026578,15.232558139534884,0.018518518518518517,1
Invoice Managment System,https://github.com/iammemon/Invoice_ManagmentSystem,11854,239,0.12552301255230125,83,0,0,1.0,1.0,4.543933054393306,182.64626771210575,4.543933054393306,0.03333333333333333,2
Bug Tracker,https://sourceforge.net/projects/btnet/,20489,163,1.6441717791411044,99,0.22388059701492538,0.41911764705882354,1.0,1.0,8.208588957055214,899.321025524502,8.208588957055214,0.0037313432835820895,2
iText Shaprt,https://github.com/itext/itextsharp,485621,3268,1.5905752753977969,1287,0.2183532127741439,0.6455696202531646,1.0,1.0,1.446450428396573,207.74846963758725,1.446450428396573,0.00019238168526356292,2
RSS BandIt,https://github.com/RssBandit/RssBandit,196411,831,4.3995186522262335,1640,0.3063457330415755,0.6413771118903411,1.0,1.0,10.951865222623345,2502.5316239687995,10.951865222623345,0.0002735229759299781,2
